,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
204,23,Stepwise,0.401087328,0.022093092,1305.496681,1869.792064,887.3878122,2624.053365
205,23,RandomForest,0.379405559,0.114147273,1328.917319,1779.61197,912.7884288,2563.228956
206,23,Bagging,0.489258549,0.18212128,1205.575945,1709.97204,1058.769955,2652.435589
207,23,ANN,-5.425637393,-7.429735256,4276.142094,5489.736796,-2776.938997,1826.497296
208,24,Lasso,0.267967502,0.310325032,1478.615721,1455.683575,796.2164051,2153.521999
209,24,Ridge,0.235913963,0.324665002,1510.641009,1440.470532,833.7286823,2175.669817
210,24,Quantile Regression,0.243533569,0.438525104,1503.089943,1440.470532,510.3646474,1697.382114
211,24,Log-Linear,0.146964333,0.181587189,1596.150116,1585.736269,255.2385256,1668.780783
212,24,OLS,0.283791917,0.433594171,1462.546718,1319.193817,762.6198146,1992.29983
213,24,Stepwise,0.27107879,0.292162127,1475.470165,1474.727055,761.979204,2137.579542
214,24,RandomForest,0.320391066,0.245209841,1424.687711,1522.852584,1016.961092,2412.449707
215,24,Bagging,0.444967053,0.347419901,1287.506767,1415.994814,981.1596783,2288.16197
216,24,ANN,-5.612969306,-6.979130842,4444.146757,4951.337647,-2986.586957,1056.229618
217,25,Lasso,0.293605996,0.439327608,1499.633757,1078.446952,1126.57044,2053.109404
218,25,Ridge,0.247412321,0.254748737,1547.890581,1243.356193,1122.388176,2189.814218
219,25,Quantile Regression,0.274794624,0.461719998,1519.470291,1243.356193,902.0957144,1867.226813
220,25,Log-Linear,0.165180673,0.441695165,1630.264055,1076.167559,450.8609071,1431.951976
221,25,OLS,0.293617968,0.440535898,1499.621048,1077.28426,1128.410248,2053.358099
222,25,Stepwise,0.278161911,0.457963202,1515.93857,1060.37282,1056.274109,1989.034872
223,25,RandomForest,0.331932768,0.172784081,1458.383663,1309.946755,1105.735308,2234.950938
224,25,Bagging,0.387078403,0.645081512,1396.896302,858.0419344,776.417748,1576.833753
225,25,ANN,-4.930254364,-7.577366688,4345.085898,4218.141945,-1586.99399,2271.555427
226,26,Lasso,0.344498888,0.122449585,1455.527731,1348.320662,910.8115583,2159.84435
227,26,Ridge,0.280569443,0.324204829,1524.853805,1183.217799,1048.822099,2134.204005
228,26,Quantile Regression,0.308492323,0.227035949,1494.969288,1183.217799,744.0355606,1923.852975
229,26,Log-Linear,0.230433354,0.448726899,1577.091482,1068.662457,665.1192201,1639.938514
230,26,OLS,0.344513582,0.117036433,1455.511418,1352.472813,907.8464809,2160.885729
231,26,Stepwise,0.344513582,0.117036433,1455.511418,1352.472813,907.8464809,2160.885729
232,26,RandomForest,0.363967736,0.252376402,1433.749703,1244.51075,1205.929963,2310.836164
233,26,Bagging,0.454841355,0.282155051,1327.379846,1219.473806,1241.205683,2315.25855
234,26,ANN,-5.241744241,-21.7578781,4491.451893,6866.304122,-3181.674673,3084.233169
235,27,Lasso,0.353750767,0.195476666,1362.367655,1681.245628,1208.480534,2772.527307
236,27,Ridge,0.253783842,0.223861267,1463.951294,1651.321078,1013.374708,2551.902431
237,27,Quantile Regression,0.343655897,0.238009148,1372.966996,1651.321078,1111.868876,2638.20818
238,27,Log-Linear,0.255721978,0.199303295,1462.048909,1677.24253,727.2127121,2252.063485
239,27,OLS,0.356546906,0.177852412,1359.417168,1699.560931,1227.607577,2806.754999
240,27,Stepwise,0.356210644,0.162565702,1359.772331,1715.288664,1226.249811,2819.64099
241,27,RandomForest,0.34401663,0.289170355,1372.589645,1580.318454,1080.500282,2554.046295
242,27,Bagging,0.436246999,0.379885904,1272.444172,1476.038371,1340.251885,2709.175134
243,27,ANN,-6.617837474,-13.22454644,4677.460783,7069.375645,-1231.00522,5361.183808
244,28,Lasso,0.349360052,0.182285825,1462.410867,1240.149998,1140.105749,2266.618093
